ID,FR,EN,EO
,Entrée de la prison,"Prison entrance","Enirejo de la prizono"
,"L'air est humide","The air is humid","La aero estas humida"
,"Un premier choix","A first choice","Unua elekto"
,"Passage lugubre","Gloomy passage","Malhela koridoro"
,"La cuisine","The kitchen",Kuirejo
,"Cellules","Cells","Karceroj"
,"Passage sinistre","Sinister passage","Malbona koridoro"
,"Cellules de l'est","Cells of the east","Orientaj karceroj"
,"Cellules de l'ouest","Cells of the west","Okcidentaj karceroj"
,"Cellules du sud","Cells of the south","Sudaj karceroj"
,"Salle des leviers","Lever room",Ĉambro de la leviloj
,"Armurerie","Armory","Armejo"
,Réfectoire,"Cafeteria","Manĝejo"
,Réfectoire et zombies,"Cafeteria and zombies","Manĝejo kaj zombioj"
,"Pas grand chose ici","Not much here","Ne multe ĉi tie"
,"Un peu d'air","A little air","Iom da aero"
,Vos pas résonnent,"Your steps resonate","Viaj paŝoj rezonas"
,"Salle des piliers","Pillar room",Ĉambro de la kolonoj
,"Restons loin des fantomes","Let's stay away from the ghosts","Ni restu for de la fantomoj"
,Salle cachée,"Hidden room","Kaŝita ĉambro"
,"Chaudron et fantomes","Cauldron and ghosts","Kaldrono kaj fantomoj"
,Salle du trésor,"Treasure room","Trezorejo"
,Grotte cachée,"Hidden cave","Kaŝita kavo"
WIN,Bravo !\\Vous avez trouvé le trésor !\\Vous avez éliminé la\menace de la prison hantée.,Congratulations!\\You found the treasure!\\You have eliminated the\threat of the haunted prison.,Gratulon!\\Vi trovis la trezoron!\\Vi forigis la minacon de\la spukita prizono.
WIN_SECRET,Vous avez aussi trouvé le\trésor secret !\\\\Merci d'avoir joué !,You also found the\secret treasure!\\\\Thanks for playing!,Vi ankaŭ trovis la\sekreton trezoron!\\\\Dankon pro ludo!
WIN_NO_SECRET,Mais vous n'avez pas trouvé\le trésor secret...,But you didn't find the\secret treasure...,Sed vi ne trovis la\sekreton trezoron...
ENTRY_TEXT,Devant la porte de cette\prison hantée vous hésitez\encore un instant.\\Aurez-vous le courage d'y\chercher le fameux trésor\dont cet étrange vieillard\vous a parlé ?,In front of the door of this\haunted prison you hesitate\for a moment.\\Will you have the courage to\look for the famous treasure\that this strange old man\told you about?,Antaŭ la pordo de tiu\spukita prizono\vi momenton hezitas.\\Ĉu vi havos la kuraĝon\serĉi la faman trezoron\kiun tiu stranga maljuna\viro parolis al vi?
SPACE_TO_REPLAY,ESPACE pour rejouer..., SPACE replay again..., SPACO por ree ludi...
SPACE_TO_ENTER,ESPACE pour entrer..., SPACE to enter..., SPACO por eniri...
SPACE_TO_RETRY,ESPACE pour réessayer..., SPACE to retry..., SPACO por provi denove...
DEAD,"Vous êtes mort...\\Mais ce n'est pas cela\qui va vous arrêter !\\Allez-vous réessayer ?","You are dead...\\But that's not going\to stop you!\\Will you try again?","Vi estas morta...\\Sed tio ne haltigos vin!\\Ĉu vi provos denove?"
FLEE,"Vous avez fui la prison\hantée, mais vous n'avez\pas trouvé le trésor. Allez-\vous réessayer ?","You fled the haunted\prison, but you didn't\find the treasure.\\Will you try again?","Vi forkuris el la spukita\prizono, sed vi ne\trovis la trezoron.\\Ĉu vi provos denove?"
